own_position,opponent_position,is_home,result
1.0,15.0,True,Win
18.0,11.0,True,Loss
13.0,3.0,True,Win
15.0,1.0,True,Draw
7.0,6.0,True,Loss
14.0,9.0,True,Loss
17.0,7.0,True,Loss
2.0,6.0,True,Win
4.0,10.0,True,Win
3.0,6.0,True,Loss
5.0,10.0,True,Draw
15.0,3.0,True,Loss
16.0,7.0,True,Loss
5.0,8.0,True,Win
15.0,10.0,True,Loss
16.0,4.0,True,Draw
3.0,15.0,True,Loss
14.0,16.0,True,Win
13.0,3.0,True,Draw
6.0,8.0,True,Draw
16.0,10.0,True,Loss
18.0,2.0,True,Loss
12.0,13.0,True,Draw
15.0,17.0,True,Draw
20.0,15.0,True,Win
6.0,12.0,True,Loss
8.0,5.0,True,Loss
19.0,6.0,True,Draw
11.0,1.0,True,Loss
19.0,11.0,True,Loss
8.0,3.0,True,Loss
18.0,5.0,True,Loss
10.0,11.0,True,Draw
2.0,16.0,True,Draw
16.0,12.0,True,Draw
20.0,2.0,True,Loss
15.0,18.0,True,Win
14.0,20.0,True,Win
4.0,9.0,True,Win
9.0,2.0,True,Draw
14.0,13.0,True,Win
5.0,1.0,True,Loss
15.0,8.0,True,Draw
8.0,20.0,True,Loss
1.0,8.0,True,Win
8.0,2.0,True,Draw
3.0,9.0,True,Win
12.0,10.0,True,Loss
5.0,3.0,True,Loss
9.0,3.0,True,Draw
8.0,7.0,True,Draw
9.0,11.0,True,Draw
11.0,1.0,True,Loss
2.0,13.0,True,Draw
16.0,3.0,True,Loss
8.0,4.0,True,Draw
10.0,3.0,True,Loss
4.0,5.0,True,Win
10.0,5.0,True,Win
2.0,12.0,True,Win
2.0,16.0,True,Draw
16.0,4.0,True,Win
11.0,8.0,True,Win
15.0,12.0,True,Loss
9.0,13.0,True,Win
1.0,13.0,True,Win
8.0,3.0,True,Loss
2.0,11.0,True,Draw
1.0,13.0,True,Win
2.0,14.0,True,Win
4.0,2.0,True,Draw
8.0,15.0,True,Win
9.0,13.0,True,Win
12.0,2.0,True,Loss
2.0,4.0,True,Win
15.0,12.0,True,Win
6.0,11.0,True,Win
8.0,2.0,True,Loss
8.0,6.0,True,Win
14.0,8.0,True,Loss
15.0,7.0,True,Loss
14.0,3.0,True,Loss
15.0,1.0,True,Loss
9.0,3.0,True,Loss
3.0,1.0,True,Loss
11.0,13.0,True,Win
14.0,3.0,True,Loss
7.0,12.0,True,Draw
11.0,6.0,True,Draw
10.0,2.0,True,Draw
3.0,16.0,True,Win
7.0,15.0,True,Win
12.0,9.0,True,Draw
3.0,13.0,True,Win
3.0,11.0,True,Win
6.0,4.0,True,Loss
8.0,2.0,True,Loss
5.0,9.0,True,Win
8.0,7.0,True,Draw
13.0,14.0,True,Loss
19.0,9.0,True,Loss
17.0,14.0,True,Loss
2.0,7.0,True,Win
5.0,15.0,True,Draw
6.0,4.0,True,Draw
14.0,3.0,True,Win
14.0,16.0,True,Loss
8.0,6.0,True,Loss
15.0,16.0,True,Win
17.0,16.0,True,Draw
3.0,6.0,True,Loss
2.0,18.0,True,Draw
16.0,4.0,True,Win
11.0,7.0,True,Draw
9.0,5.0,True,Win
7.0,13.0,True,Win
3.0,16.0,True,Win
18.0,16.0,True,Loss
7.0,14.0,True,Win
8.0,2.0,True,Draw
12.0,9.0,True,Loss
6.0,17.0,True,Win
2.0,16.0,True,Win
11.0,2.0,True,Draw
9.0,13.0,True,Win
7.0,9.0,True,Draw
8.0,7.0,True,Win
7.0,11.0,True,Loss
6.0,4.0,True,Draw
11.0,18.0,True,Win
17.0,6.0,True,Draw
15.0,17.0,True,Win
7.0,11.0,True,Draw
7.0,11.0,True,Draw
8.0,11.0,True,Draw
1.0,14.0,True,Win
8.0,5.0,True,Loss
17.0,11.0,True,Loss
4.0,13.0,True,Win
11.0,8.0,True,Draw
11.0,5.0,True,Win
4.0,13.0,True,Win
5.0,14.0,True,Draw
14.0,1.0,True,Loss
7.0,19.0,True,Win
16.0,14.0,True,Win
11.0,6.0,True,Loss
4.0,16.0,True,Win
18.0,9.0,True,Draw
16.0,3.0,True,Loss
11.0,8.0,True,Loss
9.0,17.0,True,Loss
18.0,9.0,True,Loss
17.0,2.0,True,Draw
9.0,17.0,True,Draw
14.0,1.0,True,Draw
11.0,4.0,True,Loss
13.0,10.0,True,Draw
9.0,5.0,True,Loss
2.0,16.0,True,Win
12.0,4.0,True,Win
14.0,17.0,True,Win
6.0,3.0,True,Loss
9.0,10.0,True,Draw
5.0,16.0,True,Win
18.0,6.0,True,Draw
8.0,6.0,True,Win
5.0,4.0,True,Win
10.0,11.0,True,Draw
6.0,10.0,True,Draw
8.0,3.0,True,Draw
3.0,5.0,True,Loss
3.0,14.0,True,Win
9.0,6.0,True,Draw
17.0,2.0,True,Loss
3.0,6.0,True,Draw
10.0,2.0,True,Loss
14.0,5.0,True,Win
6.0,8.0,True,Draw
7.0,9.0,True,Win
9.0,14.0,True,Draw
4.0,17.0,True,Win
17.0,3.0,True,Loss
11.0,15.0,True,Draw
4.0,8.0,True,Draw
11.0,9.0,True,Win
8.0,15.0,True,Win
15.0,6.0,True,Win
12.0,9.0,True,Draw
9.0,12.0,True,Draw
5.0,14.0,True,Draw
17.0,9.0,True,Win
2.0,5.0,True,Draw
