ClubId,GameId,IsHome,OpponentClubId,GoalsFor,GoalsAgainst,Formation,Result
762,4087952,True,31,1,2,4-3-3 Attacking,1
31,4087952,False,762,2,1,4-3-3 Attacking,0
1237,4087956,True,762,3,1,4-2-3-1,0
762,4087956,False,1237,1,3,4-3-3 Attacking,1
703,4095141,True,1148,1,1,4-3-3 Attacking,2
1148,4095141,False,703,1,1,4-3-3 Attacking,2
703,4095316,True,762,2,3,4-2-3-1,1
762,4095316,False,703,3,2,4-3-3 Attacking,0
1031,4095288,True,1237,4,0,3-4-2-1,0
1237,4095288,False,1031,0,4,3-4-2-1,1
1031,4095250,True,762,1,0,3-4-3,0
762,4095250,False,1031,0,1,4-3-3 Attacking,1
1148,4095278,True,703,3,2,3-5-2 flat,0
703,4095278,False,1148,2,3,4-2-3-1,1
1031,4095152,True,148,0,1,4-4-2 double 6,1
148,4095152,False,1031,1,0,4-2-3-1,0
989,4095296,True,703,1,1,4-2-3-1,2
703,4095296,False,989,1,1,4-2-3-1,2
762,4095304,True,1031,4,4,4-3-3 Attacking,2
1031,4095304,False,762,4,4,3-4-2-1,2
1148,4087931,True,148,2,2,5-3-2,2
148,4087931,False,1148,2,2,4-2-3-1,2
148,4095273,True,989,3,1,4-3-3 Attacking,0
989,4095273,False,148,1,3,4-2-3-1,1
989,4095276,True,31,0,4,4-2-3-1,1
31,4095276,False,989,4,0,4-3-3 Attacking,0
762,4087968,True,1148,1,0,4-3-3 Attacking,0
1148,4087968,False,762,0,1,5-3-2,1
31,4095269,True,762,4,2,4-3-3 Attacking,0
762,4095269,False,31,2,4,4-3-3 Attacking,1
1148,4095208,True,1031,3,1,4-3-3 Attacking,0
1031,4095208,False,1148,1,3,3-4-2-1,1
989,4087944,True,148,0,2,4-2-3-1,1
148,4087944,False,989,2,0,4-2-3-1,0
703,4095203,True,1237,2,3,4-1-4-1,1
1237,4095203,False,703,3,2,4-2-3-1,0
148,4095290,True,1148,3,2,4-2-3-1,0
1148,4095290,False,148,2,3,3-5-2 flat,1
1031,4095180,True,31,1,1,3-4-3,2
31,4095180,False,1031,1,1,4-3-3 Attacking,2
703,4095163,True,1031,2,2,4-3-3 Attacking,2
1031,4095163,False,703,2,2,4-4-2,2
703,4095244,True,148,0,2,3-5-2 flat,1
148,4095244,False,703,2,0,4-2-3-1,0
1237,4095147,True,31,2,2,4-2-3-1,2
31,4095147,False,1237,2,2,4-3-3 Attacking,2
148,4095234,True,762,4,1,4-2-3-1,0
762,4095234,False,148,1,4,4-3-3 Attacking,1
31,4095192,True,1148,3,0,4-3-3 Attacking,0
1148,4095192,False,31,0,3,5-3-2,1
703,4095252,True,989,2,3,4-2-3-1,1
989,4095252,False,703,3,2,4-2-3-1,0
148,4095143,True,31,2,1,4-2-3-1,0
31,4095143,False,148,1,2,4-3-3 Attacking,1
31,4087937,True,989,3,1,4-3-3 Attacking,0
989,4087937,False,31,1,3,4-2-3-1,1
989,4095186,True,762,2,0,4-2-3-1,0
762,4095186,False,989,0,2,4-3-3 Attacking,1
1237,4095064,True,989,3,1,4-2-3-1,0
989,4095064,False,1237,1,3,4-2-3-1,1
1148,4087955,True,989,2,2,4-3-3 Attacking,2
989,4087955,False,1148,2,2,4-2-3-1,2
1237,4087927,True,1031,4,1,4-2-3-1,0
1031,4087927,False,1237,1,4,3-5-2 flat,1
1237,4095259,True,148,4,2,4-4-2 Diamond,0
148,4095259,False,1237,2,4,4-2-3-1,1
148,4095317,True,1237,2,1,4-2-3-1,0
1237,4095317,False,148,1,2,4-2-3-1,1
1237,4095217,True,1148,2,1,4-2-3-1,0
1148,4095217,False,1237,1,2,4-4-2,1
31,4095172,True,703,3,0,4-3-3 Attacking,0
703,4095172,False,31,0,3,5-4-1,1
762,4095264,True,703,1,3,4-3-3 Attacking,1
703,4095264,False,762,3,1,4-2-3-1,0
