yellow_cards,red_cards,goals,assists,minutes_played,games,player_id,season
8,0,16,3,2585,36,10,2012
2,0,8,5,2220,29,10,2013
6,0,16,9,2289,40,10,2014
3,0,8,8,1714,31,10,2015
1,1,2,0,2307,31,100009,2012
5,0,2,2,3245,37,100009,2013
4,0,0,0,2655,31,100009,2014
6,0,1,1,2389,28,100009,2015
3,0,0,0,630,7,100009,2016
1,1,2,2,3533,40,10003,2014
3,0,2,0,3420,38,10003,2015
4,0,3,1,3504,39,10003,2016
4,0,0,0,3028,34,10003,2017
5,0,3,0,2016,23,10003,2018
0,0,0,0,546,13,10003,2019
0,0,0,0,214,9,10003,2020
4,1,2,0,979,16,100089,2013
1,0,1,4,715,21,100101,2012
2,0,0,1,524,19,100101,2013
0,0,1,0,311,17,100101,2015
3,0,2,0,1228,24,100113,2012
0,0,0,0,90,1,100127,2012
0,0,0,0,333,4,100127,2013
4,0,0,0,2471,28,100127,2014
0,0,0,0,90,1,100127,2015
1,0,0,0,1530,17,100127,2016
3,0,0,0,2160,24,100127,2017
3,0,0,0,1350,15,100127,2018
0,0,0,1,1335,19,100131,2012
10,0,4,0,2803,32,100131,2013
14,0,1,4,3045,37,100131,2014
9,0,2,2,2605,33,100131,2015
12,0,2,4,3524,40,100131,2016
8,0,1,1,3196,37,100131,2017
7,0,0,5,2778,34,100131,2018
6,1,0,0,894,13,100131,2019
6,0,2,0,1402,30,100131,2020
8,0,4,5,2936,49,100131,2021
6,1,4,2,3014,43,100131,2022
1,0,0,3,790,18,100131,2023
2,0,1,2,2693,31,100160,2016
5,1,1,0,2989,37,100160,2017
2,0,2,0,1964,22,100160,2018
1,0,1,0,1745,20,100160,2019
4,0,3,0,2759,31,100160,2020
0,0,0,0,1035,14,100160,2021
1,0,0,0,285,7,100160,2022
5,0,1,0,1456,19,100163,2015
3,0,2,0,2018,23,100163,2017
2,0,0,1,826,10,100163,2018
4,0,0,0,2070,23,100163,2019
1,0,0,0,328,4,100163,2020
0,0,0,0,253,5,1001854,2023
0,0,3,0,171,7,100188,2013
0,0,0,0,174,10,100188,2014
1,0,1,1,306,10,100188,2015
0,0,0,0,1205,18,100189,2013
2,0,0,0,720,13,100189,2014
1,0,0,1,781,12,100189,2018
3,0,1,0,1016,13,100220,2013
1,0,0,0,129,7,100240,2012
0,0,0,0,366,6,10025,2015
3,0,1,0,1982,24,10029,2012
3,0,0,0,1087,13,10029,2013
3,0,0,0,1216,16,10029,2014
3,1,0,1,1268,21,100303,2014
3,0,0,1,608,16,100303,2015
8,0,1,1,1523,17,100303,2016
8,0,1,0,1629,27,100303,2017
6,1,0,1,1675,21,100303,2018
0,0,0,0,17,2,1003436,2023
8,0,12,8,2509,36,100399,2012
2,0,8,5,1701,24,100399,2013
5,0,12,2,2757,37,100399,2014
1,0,19,7,3337,40,100399,2015
0,0,25,16,3420,42,100399,2016
4,0,13,3,2730,34,100399,2017
0,1,10,2,1610,28,100399,2018
2,0,5,2,1321,18,100399,2019
2,0,5,0,1346,27,100399,2020
2,0,3,0,1024,19,100399,2021
0,0,0,0,69,1,1004297,2022
0,0,0,0,4,1,1004301,2023
0,0,0,0,62,5,1004618,2022
0,0,0,0,62,3,1004618,2023
1,0,0,0,136,3,1004681,2022
2,0,2,0,367,6,100482,2016
0,0,0,1,76,12,100482,2017
2,0,7,0,784,30,1004834,2023
5,0,4,0,560,11,100485,2012
2,0,0,0,1147,13,100497,2013
2,0,0,1,861,19,100507,2015
0,0,0,0,418,5,100507,2016
1,0,0,0,97,2,1005240,2022
3,0,1,0,632,10,1005240,2023
3,0,0,1,1876,21,1005649,2023
0,0,0,0,362,5,1005651,2022
6,0,0,1,1486,17,1005651,2023
1,0,0,0,440,8,100586,2012
3,0,4,0,2191,35,100722,2019
0,0,0,1,106,6,100722,2022
4,0,2,1,1470,30,100750,2015
0,0,0,0,150,3,1008564,2022
0,0,0,0,270,3,100910,2012
0,0,0,0,65,3,1009300,2022
0,0,0,0,48,3,1009300,2023
0,0,0,0,31,1,1009633,2023
5,0,0,0,3375,38,100980,2012
4,0,1,0,2773,32,100980,2013
5,0,1,1,3272,36,100980,2014
5,0,0,3,3400,38,100980,2015
4,1,0,0,2051,24,100980,2016
5,0,4,1,1115,17,100986,2012
5,0,3,1,1919,23,100986,2013
7,0,2,4,3477,39,100986,2014
6,0,3,4,2347,28,100986,2015
3,0,2,6,2160,29,100986,2016
4,0,4,3,1685,26,100986,2017
3,0,4,5,1978,27,100986,2018
7,0,1,2,1773,22,100986,2019
3,0,1,2,1970,33,100986,2020
6,0,2,5,2096,26,100986,2021
3,0,0,1,1073,16,100986,2022
0,0,0,1,678,9,100986,2023
0,0,0,0,333,7,101000,2017
0,0,3,3,783,18,101015,2012
0,0,4,0,742,14,101015,2013
0,0,0,1,549,16,101029,2013
4,0,0,0,1920,21,101031,2019
1,0,0,0,2520,29,101031,2020
0,0,0,2,875,10,101042,2015
1,0,5,3,1208,20,101067,2012
0,0,0,0,622,16,101088,2012
1,0,0,0,1170,13,101118,2012
0,0,0,0,516,6,101118,2013
2,0,0,0,885,10,101118,2014
1,0,0,0,1620,18,101118,2015
1,0,0,1,1826,21,101118,2016
0,0,0,0,180,2,101118,2017
0,0,0,0,990,11,101118,2018
3,1,0,0,2978,34,101118,2019
2,0,0,0,2040,22,101118,2020
0,0,0,0,390,4,101118,2021
1,0,0,0,450,5,101118,2022
2,0,1,1,1117,15,1011200,2023
1,0,1,0,673,10,101133,2012
0,0,0,0,52,2,101133,2013
0,0,0,0,118,3,1011469,2023
0,0,0,0,1,1,1011472,2022
0,0,0,0,90,1,10118,2014
2,0,0,0,1154,22,101183,2018
1,0,5,2,995,23,101201,2012
2,0,15,2,2580,35,101201,2013
2,0,4,2,1186,22,101201,2016
1,0,3,0,1175,20,101201,2017
0,0,5,1,909,26,101201,2022
0,0,0,1,340,6,10121,2012
1,0,0,0,420,5,10121,2013
6,1,0,0,1137,14,10121,2014
2,0,0,0,247,3,10121,2016
6,0,1,6,3017,35,101213,2012
8,0,0,0,2297,29,101213,2013
12,0,3,1,2919,36,101213,2014
2,0,0,1,1476,29,101213,2015
7,0,1,1,2137,27,101213,2016
3,0,2,0,1810,24,101213,2017
0,0,0,1,1256,26,101213,2018
11,0,1,1,1849,27,101213,2019
4,1,0,1,1556,34,101213,2020
2,0,0,1,879,17,101213,2022
0,0,0,0,9,1,101213,2023
1,0,1,1,565,17,101214,2014
1,0,1,1,341,10,101214,2015
3,0,2,3,636,9,1012534,2022
2,0,4,3,1005,22,1012534,2023
4,0,0,0,687,8,101254,2012
4,0,4,1,1238,26,101277,2014
0,0,0,0,83,4,101277,2015
2,1,0,0,884,11,101304,2012
0,0,1,0,1043,14,101304,2013
8,1,0,0,3633,41,101304,2014
