yellow_cards,red_cards,goals,assists,minutes_played,games,player_id,season
4,0,0,0,1800,21,101304,2015
5,0,2,1,1552,19,101304,2020
0,0,0,0,50,3,101321,2012
0,0,0,0,233,4,10139,2012
3,0,1,4,1600,28,10139,2014
5,0,2,2,1923,27,10139,2015
0,0,0,0,32,5,1014243,2022
0,0,0,0,92,4,1014243,2023
4,0,13,5,1866,37,10143,2012
3,0,8,2,1365,35,10143,2013
3,0,11,3,1973,38,10143,2014
4,0,4,3,1889,35,10143,2015
3,0,4,2,2447,31,10143,2016
7,0,14,0,2762,32,10143,2017
4,0,2,1,2426,28,10143,2018
4,0,6,1,2149,28,10143,2019
2,0,2,1,1766,31,10143,2020
0,1,1,0,1335,15,101469,2012
0,0,4,4,741,25,101500,2013
0,0,6,0,331,5,101500,2015
0,0,0,0,79,4,101500,2016
1,0,2,2,490,16,101500,2018
0,0,2,1,853,21,101500,2019
0,0,4,2,1575,31,101500,2020
1,0,2,3,668,22,101500,2021
3,0,3,2,940,16,101506,2014
4,0,0,0,2087,25,101506,2015
10,0,1,3,2590,31,10152,2012
7,0,0,1,2033,26,10152,2013
5,1,2,1,1719,26,101531,2020
3,0,2,0,2388,28,101531,2021
3,0,0,2,873,11,101531,2023
1,0,0,0,93,9,1016015,2022
1,0,0,0,895,13,1016015,2023
0,0,0,0,360,4,101615,2012
0,0,0,0,1,1,1016253,2023
1,0,3,1,793,11,101657,2012
0,1,2,0,670,17,101657,2013
0,0,0,0,466,11,101657,2014
2,0,0,1,1074,18,101657,2016
1,0,0,1,619,12,101670,2012
1,0,0,0,90,4,101670,2013
3,0,0,1,1327,26,101682,2017
2,0,0,0,65,1,101723,2012
6,0,1,0,3355,39,101742,2013
6,1,0,1,3283,37,101742,2014
0,0,0,0,667,8,101742,2015
5,1,3,0,2554,32,101785,2012
9,0,0,0,2446,28,101785,2013
1,0,0,0,240,3,101785,2015
6,0,1,0,809,12,101808,2017
0,0,0,0,30,2,1018201,2022
2,0,2,2,746,11,101823,2016
2,0,9,2,790,10,1018259,2022
3,1,7,0,1301,25,1018259,2023
3,0,1,5,3114,36,10183,2012
2,0,0,1,765,11,10183,2014
0,0,0,1,210,2,1018927,2023
3,0,0,1,498,10,101912,2012
8,0,2,1,2658,32,101913,2013
0,0,0,0,31,2,1019173,2023
0,0,0,0,1069,14,1019174,2022
0,0,0,0,2250,25,1019174,2023
7,0,1,1,2553,29,101922,2016
5,1,0,0,2140,26,101922,2017
6,0,2,1,2351,28,101922,2018
9,0,1,0,2541,32,101922,2019
1,0,0,0,385,7,101922,2020
7,0,0,1,3149,35,101954,2015
1,0,0,0,90,1,101954,2016
8,0,8,4,3175,38,102017,2013
8,0,1,0,2107,33,102017,2014
13,0,0,6,3043,38,102017,2015
4,0,0,3,2477,31,102017,2016
5,0,4,4,3100,39,102017,2017
8,0,3,0,4091,51,102017,2018
13,0,7,2,3424,43,102017,2019
6,0,8,2,3210,42,102017,2020
6,0,8,4,3332,43,102017,2021
4,0,3,1,2748,41,102017,2022
2,0,1,1,1021,22,102017,2023
2,0,1,2,1806,23,102040,2016
5,0,1,0,1424,21,102040,2017
2,0,0,0,1284,19,102040,2018
5,0,9,3,2163,28,102043,2012
9,1,11,3,2648,30,102043,2013
5,0,10,8,2878,33,102043,2014
6,0,4,1,2138,26,102043,2015
5,0,3,3,2213,26,102043,2016
6,0,7,4,2190,26,102043,2017
8,0,10,3,2801,33,102043,2018
7,0,4,2,2017,27,102043,2019
1,0,1,0,698,20,102043,2020
7,0,0,1,2306,30,102045,2012
8,1,2,0,1830,22,102045,2013
5,0,0,0,1584,25,102045,2014
4,0,0,1,1340,25,102045,2015
3,0,0,0,1173,18,102045,2016
7,1,1,0,975,16,102045,2017
0,0,0,0,2,1,1020670,2023
0,0,1,0,587,13,102097,2014
4,1,0,2,2180,26,102123,2018
0,0,0,1,628,10,102123,2020
2,0,18,7,3138,35,102132,2012
0,0,1,0,80,4,102132,2013
0,0,0,0,556,12,102132,2015
0,0,9,3,2000,28,102132,2016
0,0,4,2,1383,24,102132,2017
1,0,10,0,1726,30,102132,2018
2,0,3,1,559,21,102132,2019
1,0,1,2,208,12,102132,2020
1,0,11,2,1717,20,102132,2021
0,0,7,4,2302,31,102132,2022
1,0,9,10,2903,35,102134,2012
2,0,17,16,3437,41,102134,2013
2,0,0,1,729,14,102134,2014
2,0,8,13,2250,33,102134,2015
1,0,8,2,1448,32,102134,2016
1,0,3,3,1581,28,102134,2017
2,0,5,9,2304,29,102134,2018
5,0,11,9,2127,30,102134,2019
0,0,3,2,1326,22,102134,2020
0,0,8,6,913,19,102134,2021
1,0,2,7,1290,26,102134,2022
1,0,0,2,495,15,102134,2023
2,0,2,5,1710,29,102142,2012
2,0,0,2,835,19,102142,2013
1,0,2,1,1164,27,102142,2015
1,0,0,0,417,13,102142,2016
0,0,0,0,2700,30,102146,2020
2,0,0,0,2160,24,102146,2021
2,0,0,0,3420,38,102146,2022
2,0,2,3,1114,25,102186,2012
1,0,3,1,880,14,102186,2013
7,0,0,2,1671,24,102192,2012
5,1,1,1,2144,29,102192,2013
6,1,0,1,2220,26,102192,2015
2,0,0,0,362,7,102192,2016
6,0,0,0,1700,21,102192,2017
4,0,0,2,1808,22,102192,2018
1,0,3,6,1863,24,102226,2012
8,0,11,17,3395,39,102226,2013
3,0,5,10,1760,41,102226,2014
4,0,6,6,1945,36,102226,2015
4,0,11,7,2273,33,102226,2016
1,0,11,9,3212,37,102226,2017
1,0,13,12,3058,35,102226,2018
5,0,7,14,3096,43,102226,2019
1,0,4,6,1352,28,102226,2020
2,0,6,1,1657,30,102226,2021
3,0,3,1,1105,34,102226,2022
1,0,2,4,1006,15,102226,2023
1,0,0,1,180,8,102249,2013
2,0,0,0,373,11,102249,2016
1,0,1,2,329,6,102249,2017
10,0,2,3,3357,38,102258,2012
4,0,0,3,1753,24,102258,2013
2,0,0,1,844,13,102258,2014
9,0,0,2,3240,36,102258,2016
1,0,0,3,2385,27,102258,2017
9,0,0,0,1958,23,102258,2018
2,0,0,2,1710,19,102258,2019
5,0,1,1,3100,37,102258,2020
3,1,1,2,1863,26,102258,2021
1,0,0,0,1212,17,102271,2016
0,0,0,0,62,1,102272,2012
9,0,0,1,2158,24,102284,2012
5,0,0,1,1032,12,102284,2013
9,0,1,0,1557,24,102284,2015
0,0,0,0,511,7,102284,2016
0,0,0,0,12,1,102382,2012
2,0,0,0,207,4,102382,2017
3,0,0,0,1265,16,102423,2017
9,0,2,0,2610,29,102423,2018
5,0,3,1,3316,38,102423,2019
7,0,2,0,3540,39,102423,2021
11,1,0,1,3017,36,102423,2022
0,0,1,1,684,10,102427,2012
2,0,0,0,1002,12,102427,2014
7,0,0,2,2490,31,102427,2015
10,0,3,1,3690,41,102427,2016
10,0,3,4,4410,49,102427,2017
12,0,2,1,3240,36,102427,2018
14,0,6,1,3559,40,102427,2019
8,1,5,0,3303,37,102427,2020
11,0,4,1,3356,38,102427,2021
10,0,3,0,3762,44,102427,2022
7,0,4,1,1764,24,102427,2023
0,0,0,0,16,1,102432,2012
8,0,2,2,2501,28,10244,2012
3,0,1,1,646,9,102452,2012
5,1,6,5,1908,27,102452,2013
5,0,11,1,2935,38,102452,2014
5,0,2,8,1910,28,102452,2015
6,0,2,5,1807,31,102452,2016
6,0,3,6,2316,30,102452,2017
10,0,4,7,2376,38,102452,2018
1,0,0,0,16,1,102470,2014
6,1,5,5,1943,33,102470,2016
6,0,0,2,964,32,102470,2017
0,0,0,0,57,1,102470,2018
0,0,0,0,90,1,10250,2016
0,0,0,0,90,1,10254,2012
4,0,0,0,2520,28,10254,2013
1,0,0,0,360,4,10254,2014
0,0,0,0,180,2,1025424,2023
4,0,4,0,1223,24,10255,2013
3,0,1,5,1428,27,10255,2014
0,0,0,0,90,5,10255,2015
15,0,0,4,2373,36,102558,2012
12,0,0,7,2587,38,102558,2013
15,0,3,10,3094,40,102558,2014
5,0,0,4,1484,24,102558,2015
11,0,3,7,2779,36,102558,2016
14,0,2,5,2452,31,102558,2017
9,0,0,2,2563,34,102558,2018
9,0,0,5,2159,30,102558,2019
10,0,0,4,2082,29,102558,2020
14,0,2,2,2379,29,102558,2021
14,1,0,1,2909,37,102558,2022
3,0,0,0,2070,23,102572,2012
0,0,0,0,1710,19,102572,2013
0,0,0,0,900,10,102572,2014
3,0,0,0,2115,24,102572,2015
4,0,0,0,2520,28,102572,2016
1,0,0,0,2010,22,102572,2017
0,0,0,0,1980,22,102572,2018
2,1,0,0,2284,26,102572,2019
1,0,0,0,1950,21,102572,2020
1,0,0,0,1260,14,102572,2021
0,0,0,0,2430,27,102572,2022
0,0,0,0,1,1,1025798,2022
0,0,0,0,5,1,102580,2012
3,0,2,0,1995,24,102581,2012
1,0,1,0,820,17,102581,2013
2,0,2,4,2444,32,102581,2014
3,0,3,1,2980,34,102581,2015
3,0,0,0,2125,25,102581,2016
4,0,2,5,2700,30,102581,2017
3,2,1,4,2825,33,102581,2018
6,0,2,5,3198,37,102581,2019
4,0,2,1,1048,13,102581,2020
2,0,0,0,1316,16,102581,2021
3,0,1,1,1408,26,102581,2022
0,0,0,0,1050,16,102581,2023
0,0,3,1,255,10,102621,2013
4,0,3,1,2720,32,102660,2014
3,0,1,0,1518,21,102660,2016
7,0,0,0,1699,28,102660,2017
8,0,4,3,2911,33,102660,2018
1,0,0,1,665,8,102660,2019
1,1,0,0,1077,19,102660,2020
0,0,0,0,12,2,10267,2014
1,0,1,0,479,6,102679,2013
5,1,5,5,2004,27,102679,2014
2,1,0,8,1146,19,102679,2015
3,1,1,6,1390,23,102679,2016
4,0,3,2,1180,17,102679,2017
3,0,0,1,516,21,102679,2019
0,0,0,0,10,1,1027216,2022
2,0,0,2,2807,33,102740,2012
2,0,1,1,1376,15,102740,2013
3,0,0,9,3410,39,102740,2014
2,1,1,8,3567,41,102740,2015
3,0,0,6,3155,36,102740,2016
4,0,0,5,3213,37,102740,2017
2,0,1,10,3037,35,102740,2018
7,0,3,4,3264,36,102740,2019
4,0,2,1,2272,27,102740,2020
5,0,3,1,2666,30,102740,2021
0,0,0,0,714,15,102740,2023
4,0,1,2,2993,34,102744,2012
5,0,3,4,2919,33,102744,2013
6,2,2,2,3349,41,102744,2014
6,0,2,2,2632,33,102744,2015
5,0,1,4,3598,40,102744,2016
4,0,0,3,1377,20,102744,2017
0,0,0,0,461,7,102744,2018
1,0,0,1,630,7,102744,2019
3,0,0,1,2067,25,102744,2020
0,1,0,3,1318,28,102744,2021
4,0,0,1,1143,29,102744,2022
7,0,0,0,2184,27,102745,2014
5,0,0,0,1781,20,102745,2016
7,0,3,0,2230,27,102745,2017
7,2,1,1,2235,26,102745,2018
5,0,2,0,1339,17,102745,2019
3,0,0,0,1557,20,102745,2020
3,0,1,0,1459,25,102745,2021
0,0,0,0,9,1,102750,2016
0,0,0,0,480,8,102779,2014
0,0,0,1,44,2,1027993,2022
1,0,0,2,560,15,1028162,2023
0,0,0,1,32,7,1028566,2022
1,0,0,1,347,10,10288,2013
7,0,6,3,1364,33,10289,2012
0,0,0,0,74,2,1029294,2022
5,0,0,1,1103,22,102984,2021
0,0,1,0,135,2,102990,2012
7,0,2,1,1398,17,103004,2012
0,0,0,0,57,4,1030525,2023
1,0,0,1,789,15,103054,2015
0,0,0,0,581,7,103060,2019
1,0,1,0,379,7,103064,2016
0,0,0,1,398,9,1031044,2022
0,0,0,1,169,6,1031044,2023
0,0,0,0,36,1,1031045,2022
0,0,0,0,83,1,1031046,2022
1,0,0,0,432,7,103127,2014
0,0,0,0,120,1,103127,2015
4,0,1,2,2880,32,103128,2014
7,0,0,3,2290,27,103128,2015
0,0,0,0,492,6,103128,2017
0,0,0,0,450,5,103147,2013
0,0,0,0,450,5,103147,2014
1,0,0,0,1187,15,103221,2013
2,0,0,0,918,12,103221,2014
1,0,0,0,582,8,103221,2015
3,0,1,0,1757,22,103221,2016
0,0,0,0,69,1,103261,2012
2,0,0,0,344,7,103278,2012
0,0,0,0,39,5,103278,2021
1,0,0,1,88,2,103284,2013
2,0,2,3,1513,22,103284,2014
8,0,5,1,2320,30,103284,2015
0,0,0,2,404,12,103284,2016
4,0,2,1,1036,21,103284,2017
2,0,6,7,2515,39,103284,2018
3,0,2,1,1289,29,103284,2019
0,0,1,0,93,3,1032864,2022
0,0,0,0,62,10,1032864,2023
0,0,0,0,17,1,10329,2013
0,0,0,1,67,3,103305,2012
0,0,0,0,10,1,103305,2013
5,1,1,3,3572,41,103310,2012
4,0,0,2,2690,32,103310,2013
0,0,1,1,1531,19,103310,2014
2,0,0,1,2010,23,103310,2015
8,0,1,3,3052,37,103310,2016
2,0,0,0,2379,29,103310,2017
7,0,0,0,1575,18,103327,2012
5,0,4,0,2919,34,103327,2013
8,0,0,1,2896,33,103327,2014
3,0,0,0,3060,34,103327,2015
0,0,0,1,957,13,103327,2016
2,0,1,0,1023,13,103327,2017
0,0,1,0,33,6,1033486,2022
4,0,0,0,2319,27,103370,2012
2,0,0,0,2790,31,103370,2013
4,0,0,0,3150,35,103370,2014
2,0,0,0,1835,21,103370,2016
0,0,0,0,1848,21,103370,2017
0,0,2,0,327,10,103381,2014
4,0,10,2,2512,32,103381,2015
8,0,19,4,3092,36,103381,2016
2,0,10,5,1447,30,103381,2017
7,0,14,4,1710,26,103381,2018
7,1,17,2,2561,43,103381,2019
4,0,12,0,2068,38,103381,2021
2,0,0,0,271,4,103381,2022
1,0,2,0,240,10,1033963,2023
2,0,0,0,1634,22,103427,2012
2,0,2,0,2673,34,103427,2013
3,0,4,0,2239,29,103427,2014
13,0,2,0,4785,53,103427,2015
0,0,2,2,2252,32,103427,2016
4,0,4,0,3795,43,103427,2017
2,0,1,0,3028,34,103427,2018
4,0,3,2,3196,37,103427,2019
4,0,0,1,1361,21,103427,2020
0,0,3,0,2179,28,103427,2021
8,0,3,1,4007,47,103427,2022
0,0,0,0,245,3,103427,2023
2,0,6,1,1984,33,103428,2012
2,0,4,4,3039,34,103428,2013
3,0,4,3,3079,37,103428,2014
3,0,3,2,3015,34,103428,2015
2,0,2,2,1615,22,103428,2016
2,0,1,1,1791,20,103428,2022
0,0,0,2,966,14,103428,2023
0,0,0,1,395,10,103433,2012
0,0,0,0,375,9,103433,2013
5,0,0,2,2513,29,103433,2014
4,0,1,3,1557,19,103433,2015
0,0,0,2,609,13,103433,2017
1,0,0,1,248,6,103433,2018
0,0,0,0,316,9,103433,2019
2,0,4,3,2498,36,103434,2012
0,0,0,0,90,1,103434,2014
0,0,2,2,716,10,103434,2015
1,0,6,1,1992,31,103434,2016
2,0,6,4,1869,24,103434,2017
2,0,2,3,1858,26,103434,2018
1,0,3,0,1422,17,103434,2019
2,0,2,2,2075,25,103434,2020
2,0,3,1,887,24,103434,2021
0,0,0,0,810,9,103440,2015
1,0,0,0,2250,25,103440,2016
0,0,0,0,2250,25,103440,2017
0,0,0,0,615,7,103444,2014
0,0,0,0,1440,16,103444,2017
2,0,0,0,3060,34,103444,2018
2,0,0,2,2430,27,103444,2019
1,0,0,0,270,3,103444,2020
0,0,0,0,270,3,103444,2021
1,0,0,0,720,8,103444,2023
0,0,0,0,8,1,1034646,2022
0,0,0,0,15,3,1034665,2023
5,0,1,0,1413,18,1035048,2022
2,0,1,0,249,4,103523,2012
1,0,1,0,821,10,103539,2014
4,0,12,4,2439,35,103547,2012
2,0,6,4,1231,24,103547,2013
1,0,1,3,1052,23,103547,2014
1,0,2,1,600,11,103547,2015
3,0,4,4,973,21,103547,2016
0,0,0,0,26,1,103547,2017
0,0,2,0,235,7,103558,2012
2,0,13,2,2033,29,103558,2013
1,0,2,0,1134,18,103559,2020
2,0,4,2,3004,36,103563,2013
4,0,3,2,2011,24,103563,2014
7,0,1,1,1895,25,103563,2015
2,0,0,0,476,10,103563,2016
6,0,7,9,2040,29,103565,2012
7,0,6,3,2260,32,103565,2013
8,0,9,7,2381,32,103565,2014
14,0,8,8,3101,42,103565,2015
6,0,1,0,839,21,103565,2016
9,0,9,2,1926,24,103565,2017
10,1,13,6,2826,32,103565,2018
5,0,5,2,1402,19,103565,2019
5,1,7,1,1193,22,103565,2020
6,0,10,0,2238,30,103565,2021
5,1,4,1,1642,27,103565,2022
2,0,1,0,836,18,103565,2023
2,0,0,0,205,7,1035758,2022
0,0,0,0,102,7,103585,2012
8,0,12,3,1981,27,103585,2014
5,0,8,3,1803,26,103585,2016
6,0,6,0,1477,18,103585,2017
0,0,0,0,34,3,1035982,2022
0,0,0,0,38,6,1035982,2023
0,0,0,0,202,5,1035983,2023
0,0,0,0,18,1,1035994,2022
1,0,0,0,79,4,103600,2012
0,0,0,0,77,3,103600,2013
2,0,9,2,2440,28,103607,2016
2,0,2,0,748,11,103607,2017
0,0,0,0,360,4,103616,2018
0,0,0,0,142,2,103616,2020
0,0,0,0,451,6,103616,2021
0,0,0,0,120,1,103616,2022
4,0,6,2,1245,14,103621,2018
10,0,5,2,2502,29,103621,2019
7,0,1,1,1549,32,103621,2020
0,0,0,0,336,5,103667,2013
4,0,0,0,793,17,103674,2014
8,0,0,0,1270,15,103674,2019
4,0,1,2,1971,24,103674,2020
7,0,0,1,1316,22,103674,2021
1,0,0,1,1711,24,103674,2022
4,0,0,0,709,10,103680,2012
7,0,0,1,2094,27,103680,2013
2,0,1,0,1884,23,103680,2014
5,0,0,1,1353,16,103680,2016
4,0,0,0,1147,15,103680,2017
1,0,0,0,991,14,103680,2018
0,0,0,0,230,3,1037260,2022
0,0,0,0,943,11,103732,2018
1,0,0,0,1094,17,103732,2019
6,0,5,3,1043,18,103743,2018
0,0,0,0,272,6,10375,2015
0,0,4,2,902,19,103793,2012
0,0,1,0,938,13,103793,2013
0,0,0,0,1,1,1038054,2022
1,0,0,0,1170,13,103819,2012
3,1,3,4,2953,33,103819,2013
5,0,0,0,1852,22,103819,2016
3,0,3,1,1078,14,103819,2017
1,0,0,0,31,1,1038821,2022
1,0,0,0,74,2,103890,2012
6,2,0,7,2156,31,103890,2014
1,0,0,1,1020,12,103890,2015
6,0,1,3,2017,23,103890,2018
0,0,0,0,900,11,103916,2013
0,0,0,0,2910,32,103916,2014
0,0,0,0,180,2,103916,2016
0,0,0,0,390,4,103916,2018
5,0,0,4,2298,30,103934,2017
5,0,0,1,2413,28,103934,2018
7,0,0,3,2437,28,103934,2019
1,0,2,1,1616,20,103934,2021
7,0,2,0,2291,31,103934,2022
3,0,0,1,1411,21,103950,2012
3,0,0,0,1589,22,103950,2013
7,0,0,0,1171,15,103950,2014
5,0,0,0,2020,25,103950,2015
6,0,1,1,2468,28,103950,2016
5,0,0,1,2003,26,103950,2017
5,0,0,0,919,15,103950,2018
8,0,0,0,1375,16,103950,2019
5,0,0,0,665,13,103950,2020
1,0,0,0,29,2,103950,2021
0,0,0,0,111,3,103950,2022
0,0,0,0,20,2,103952,2013
0,0,0,0,210,2,103981,2023
5,0,9,5,2562,32,104124,2015
9,0,9,6,2862,34,104124,2016
1,0,3,1,1358,21,104124,2017
3,0,6,7,2279,35,104124,2018
3,0,10,3,1816,25,104124,2019
3,0,10,5,2073,27,104124,2020
10,0,14,11,4017,48,104124,2021
3,0,7,3,2119,38,104124,2022
3,0,2,2,884,14,104124,2023
4,0,0,1,870,15,104127,2015
1,0,0,1,290,15,104127,2017
0,0,0,0,124,3,104127,2018
5,0,1,2,1691,25,104127,2019
0,1,1,1,1225,22,104127,2020
0,0,0,1,291,7,1041552,2022
5,0,1,1,1927,24,104200,2013
2,1,0,1,1573,23,104200,2016
5,0,1,0,2254,30,104200,2018
4,0,1,1,719,12,104200,2019
2,0,3,2,1407,25,104201,2012
2,0,3,5,1683,24,104201,2013
2,0,5,7,2226,28,104201,2014
5,0,7,4,3460,40,104201,2015
5,0,7,2,1939,23,104201,2016
0,0,2,1,2086,26,104201,2017
3,0,5,2,1818,22,104201,2018
1,0,1,2,1217,16,104201,2019
0,0,2,0,363,8,104203,2012
0,0,0,0,62,1,104203,2013
0,0,2,0,710,11,104203,2015
1,0,0,0,181,3,104219,2014
7,0,2,7,3373,39,104223,2012
5,0,1,8,3204,37,104223,2013
13,0,2,5,3888,44,104223,2014
5,0,0,0,1689,24,104223,2015
3,0,1,1,1368,20,104223,2016
3,0,0,2,936,17,104223,2017
4,0,2,3,3329,40,104223,2018
4,1,0,0,1553,32,104223,2019
1,0,1,0,606,11,104223,2020
6,1,1,1,2786,35,104223,2021
8,0,3,3,3634,41,104223,2022
5,0,2,3,2278,25,104223,2023
1,0,0,0,83,1,104233,2013
5,1,2,6,3449,41,10424,2012
4,0,3,5,3528,40,10424,2013
5,0,2,2,2675,32,10424,2014
6,0,2,6,3447,39,10424,2015
1,0,1,1,1005,13,104249,2015
0,0,0,0,183,5,104249,2017
0,0,0,0,16,2,1042715,2022
1,0,0,0,81,2,104277,2016
1,0,0,1,70,3,104277,2017
0,0,0,0,498,7,104290,2014
4,0,2,1,1266,19,1043003,2022
3,0,1,1,1917,25,1043003,2023
