BirthCountry,SubPosition,Position,Height,CurrentPay,HighestPay,YellowCards,RedCards,Goals,Assists,Minutes,Games,YellowLastSeason,RedLastSeason,GoalsLastSeason,AssistsLastSeason,MinutesLastSeason,GamesLastSeason,ShootoutGoals,ShootoutAppearances,BirthYear,Name
England,Central Midfield,Midfield,190,12000000,12000000,5,0,1,1,1816,32,3,0,1,1,1394,17,0,0,1997,Lee MacGyver
England,Attacking Midfield,Midfield,178,40000000,40000000,8,0,5,9,3736,44,2,0,2,2,1230,16,1,1,2000,Kevin Rempel
England,Right Winger,Attack,186,48000000,48000000,7,0,7,7,2851,42,2,0,4,0,1397,18,0,0,2001,Gilberto Murray
England,Central Midfield,Midfield,182,42000000,42000000,16,0,2,4,3189,49,5,0,1,1,722,19,1,1,2000,Merle Mitchell
Wales,Right-Back,Defender,183,17000000,20000000,5,0,1,1,1359,28,3,0,0,1,1300,19,1,1,2001,Boyd Williamson
Austria,Central Midfield,Midfield,177,38000000,45000000,10,0,2,1,2733,42,6,0,2,2,2511,41,1,1,1994,Leslie Stokes
Spain,Right-Back,Defender,178,4000000,40000000,5,0,0,1,1920,32,6,0,3,0,2815,41,0,0,1989,Benjamin Reilly
France,Centre-Forward,Attack,187,4000000,75000000,2,0,12,7,1951,32,1,0,16,2,2247,37,0,0,1989,Andy Rath
Austria,Central Midfield,Midfield,187,15000000,15000000,2,0,1,0,445,14,0,0,0,0,215,10,0,0,2003,Brendan Abbott
France,Left-Back,Defender,178,15000000,35000000,10,0,0,5,2268,38,4,0,2,4,2276,29,0,0,1993,Steven Grimes
England,Centre-Forward,Attack,188,110000000,150000000,3,0,43,10,4153,48,7,0,30,11,4148,47,0,0,1993,Pedro Little
England,Centre-Forward,Attack,177,9000000,22000000,2,0,3,3,1342,38,6,0,10,5,1916,35,0,0,1992,Todd Swaniawski
England,Left-Back,Defender,175,600000,27000000,10,0,1,0,2637,36,6,0,1,0,1486,26,0,0,1985,Gabriel Schuster
Denmark,Defensive Midfield,Midfield,185,28000000,45000000,7,0,0,3,2798,42,6,0,5,6,3895,44,0,0,1995,Taylor Wolf
Ireland,Right-Back,Defender,185,4000000,20000000,1,0,4,0,911,22,0,0,2,4,1528,26,0,0,1992,Claude Koelpin
France,Centre-Back,Defender,186,8000000,60000000,4,0,0,1,1867,23,5,0,1,2,1590,29,0,0,1995,Lewis Nicolas
Wales,Left-Back,Defender,181,15000000,25000000,5,0,1,1,2561,37,5,0,3,1,3460,42,0,0,1993,Howard Kuvalis
Scotland,Central Midfield,Midfield,178,30000000,32000000,8,0,6,5,3439,41,8,0,0,2,3125,38,0,0,1994,Alonzo Kub
England,Centre-Back,Defender,182,5000000,18000000,2,0,0,0,424,13,1,0,1,0,1110,16,0,0,1995,Stephen Marquardt
England,Centre-Back,Defender,196,16000000,32000000,4,0,1,2,1921,22,9,0,0,2,3181,36,0,0,1993,Neal Rath
Argentina,Right Winger,Attack,172,22000000,35000000,0,0,4,2,1634,23,0,0,4,5,1872,38,0,0,1996,Blake Wolf
England,Centre-Forward,Attack,180,60000000,60000000,7,0,24,13,3796,46,5,0,10,4,3108,37,0,0,1995,Howard Skiles
Argentina,Centre-Back,Defender,185,65000000,65000000,17,1,3,1,3046,36,7,0,1,0,2600,30,0,0,1998,Rudolph Walsh
Jamaica,Left Winger,Attack,178,30000000,45000000,3,0,9,8,2209,40,7,0,4,2,1300,26,0,0,1997,Bert Kertzmann
England,Left Midfield,Midfield,178,13000000,35000000,1,0,0,1,296,7,6,0,2,2,1963,30,0,0,2000,Kenneth Stehr
France,Defensive Midfield,Midfield,184,38000000,38000000,8,1,1,2,2534,33,3,0,0,1,2594,31,0,0,1999,Sergio Runolfsdottir
England,Defensive Midfield,Midfield,175,15000000,20000000,10,0,1,0,2181,37,2,0,0,0,432,13,0,0,2000,Scott Stracke
Cote d'Ivoire,Central Midfield,Midfield,182,30000000,35000000,9,1,0,0,1618,24,9,0,2,1,1954,33,0,0,1996,Jean Larson
England,Centre-Back,Defender,183,35000000,35000000,10,0,0,1,3942,45,5,0,0,0,2492,30,0,0,1997,Pablo Volkman
England,Right-Back,Defender,185,28000000,28000000,6,0,3,2,2277,34,7,0,3,3,2913,35,0,0,1997,Barry Conn
Brazil,Central Midfield,Midfield,177,60000000,60000000,11,0,12,6,3910,45,7,1,4,3,2860,38,0,0,1998,Jerome Heaney
Brazil,Right-Back,Defender,183,18000000,30000000,4,0,3,0,1969,34,4,1,1,1,2601,39,0,0,1999,Allen Weber
England,Right-Back,Defender,184,8000000,13000000,1,0,0,0,799,12,0,0,0,0,28,4,0,0,2000,Gerald Kshlerin
Spain,Right Winger,Attack,175,16000000,30000000,7,0,2,4,1773,37,3,0,0,1,1165,25,0,0,2001,Rudy Gorczany
Senegal,Central Midfield,Midfield,184,35000000,35000000,6,0,2,3,1661,33,2,0,0,2,878,15,0,0,2002,Gary Gulgowski
Sweden,Goalkeeper,Goalkeeper,196,1500000,10000000,0,0,0,0,540,7,0,0,0,0,325,4,0,0,1990,Conrad Zieme
"Korea, South",Left Winger,Attack,184,50000000,90000000,3,0,21,9,3928,48,3,0,20,8,3390,41,1,1,1992,Christopher Beer
France,Centre-Back,Defender,191,1800000,9000000,3,0,0,0,1539,20,4,0,0,0,1652,21,0,0,1992,Hugo Zulauf
Algeria,Centre-Forward,Attack,188,1300000,25000000,3,0,8,0,760,14,6,0,5,2,1396,23,0,0,1988,Philip Rogahn
Germany,Goalkeeper,Goalkeeper,193,10000000,16000000,0,0,0,0,3900,43,1,0,0,0,4080,45,0,0,1996,Edwin Nicolas
France,Right-Back,Defender,172,6000000,12000000,2,0,0,3,1996,27,4,0,0,2,1591,24,0,0,1993,Lyle Brown
France,Right Winger,Attack,180,12000000,12000000,1,0,7,13,2730,35,1,0,7,3,2521,31,0,0,1996,Sherman Weber
Cameroon,Centre-Forward,Attack,187,12000000,22000000,1,0,6,0,774,18,5,0,15,6,2817,42,0,0,1997,Karl Hermiston
Chile,Centre-Back,Defender,193,10000000,15000000,5,0,2,0,2296,28,6,0,3,1,2223,31,0,0,1994,Dexter Jacobson
Cape Verde,Right Winger,Attack,170,2500000,35000000,0,0,0,0,155,6,3,0,1,2,1185,24,1,1,1995,Noel Green
Russia,Attacking Midfield,Midfield,178,30000000,30000000,10,1,10,5,2896,36,7,0,4,8,2490,39,0,0,1996,Rodolfo Prosacco
France,Centre-Back,Defender,183,4000000,18000000,2,0,0,0,501,7,3,0,0,0,1389,23,0,0,1999,Alfonso Larson
France,Centre-Back,Defender,186,3500000,4000000,5,0,0,1,2216,30,1,0,1,3,2784,33,0,0,1997,Derrick Morar
Germany,Left-Back,Defender,184,8000000,8000000,3,0,1,2,1716,36,2,0,0,3,1187,34,0,0,1999,Leroy Turner
Belgium,Right-Back,Defender,187,1000000,1200000,4,0,0,0,767,23,3,0,2,0,2019,26,0,0,1999,Roger Smith
France,Centre-Back,Defender,190,42000000,42000000,4,0,4,0,4116,46,5,0,4,4,3727,42,0,0,1998,Garrett Schneider
Netherlands,Centre-Forward,Attack,181,6000000,20000000,0,0,3,0,375,20,0,0,4,0,428,19,0,0,2001,Randy Kuhic
Brazil,Left-Back,Defender,178,20000000,20000000,2,0,0,8,2553,30,6,0,3,10,3353,39,0,0,1997,Noah Haag
Senegal,Right Winger,Attack,175,12000000,21000000,3,0,4,4,2018,36,3,0,1,2,1320,21,0,0,1999,Howard Dickens
Mali,Defensive Midfield,Midfield,173,25000000,30000000,8,0,0,3,2176,32,4,1,0,0,1402,18,0,0,2000,Rogelio Kshlerin
France,Central Midfield,Midfield,185,28000000,28000000,6,0,2,5,3413,38,2,1,1,1,3203,40,0,0,1999,Jeffery Williamson
Brazil,Right-Back,Defender,173,20000000,20000000,6,0,3,4,2260,27,8,0,2,3,2721,42,0,0,2001,Blake Hoppe
France,Attacking Midfield,Midfield,178,18000000,18000000,1,0,2,3,1171,22,0,0,2,0,46,2,0,0,2005,Jan DuBuque
France,Defensive Midfield,Midfield,170,3000000,3000000,6,0,1,1,2989,35,5,0,0,2,2267,27,0,0,1993,Raymond Thompson
France,Defensive Midfield,Midfield,187,8000000,20000000,9,0,2,3,2178,29,4,0,3,1,2597,30,0,0,1994,Jonathan Dickens
France,Left-Back,Defender,183,2000000,3000000,0,1,0,0,625,10,8,1,0,1,2351,28,0,0,1996,Robin Ryan
Nigeria,Defensive Midfield,Midfield,178,1500000,2000000,3,0,0,0,729,15,7,0,0,1,1543,26,0,0,1996,Wallace Koss
Italy,Goalkeeper,Goalkeeper,189,250000,3500000,1,0,0,0,1350,15,0,0,0,0,257,3,0,0,1988,Charles Batz
France,Defensive Midfield,Midfield,191,8000000,8000000,9,0,1,0,2698,32,8,0,1,1,2479,33,0,0,2000,Fredrick Stehr
France,Right-Back,Defender,179,4500000,5000000,3,0,0,1,2012,28,3,0,0,3,1170,13,0,0,1997,Warren Heaney
Mali,Centre-Forward,Attack,190,3000000,4500000,1,0,5,1,1510,31,4,0,7,1,1073,31,0,0,1999,Moses Zboncak
France,Centre-Back,Defender,190,8000000,8000000,2,0,1,1,3510,39,0,0,0,1,2700,30,0,0,1998,Salvador Schmidt
Nigeria,Centre-Forward,Attack,188,25000000,25000000,4,0,14,5,2706,35,2,0,16,1,2415,34,0,0,1999,Rodolfo Glover
France,Centre-Back,Defender,193,7000000,7000000,2,0,0,2,992,17,0,0,0,0,158,10,0,0,2002,Laurence Harris
Angola,Attacking Midfield,Midfield,170,3000000,3000000,2,0,2,3,1791,33,1,0,0,2,811,13,0,0,2000,Fernando Roob
France,Attacking Midfield,Midfield,173,20000000,20000000,4,0,3,5,2973,40,4,0,3,4,2484,34,0,0,2000,Dean Botsford
Senegal,Right Winger,Attack,188,7000000,11000000,2,0,18,4,3163,49,0,0,0,0,644,13,0,0,2001,Devin Buckridge
France,Left Winger,Attack,176,1500000,2500000,1,0,3,4,1290,30,0,0,1,0,259,6,0,0,2002,Clayton Block
Burkina Faso,Right Winger,Attack,177,20000000,25000000,3,0,2,4,2055,36,5,0,6,7,1763,29,0,0,2002,Russell Fadel
France,Centre-Back,Defender,183,700000,2500000,3,0,0,1,1220,18,4,0,1,0,817,10,0,0,1992,Willard Veum
France,Centre-Back,Defender,189,800000,3500000,3,1,1,1,1566,23,7,0,1,0,2885,34,0,0,1987,Santos Cremin
France,Centre-Forward,Attack,188,2700000,15000000,3,0,11,2,1922,39,2,2,5,0,1272,25,1,1,1994,Jeffery Schroeder
France,Centre-Back,Defender,186,3500000,5000000,6,0,1,0,3046,35,6,1,0,1,2546,32,0,0,1995,Tomas Shanahan
Nigeria,Left Winger,Attack,168,10000000,10000000,2,0,3,7,2696,39,2,0,9,4,2516,33,0,0,1995,Bryan Kerluke
France,Attacking Midfield,Midfield,180,20000000,22000000,6,0,12,5,3078,45,8,0,7,8,3300,41,0,0,1997,Henry Jacobson
Cape Verde,Centre-Forward,Attack,182,700000,5000000,2,0,6,7,1652,28,3,0,2,0,837,13,0,0,1991,Terrence Herzog
Guadeloupe,Right Winger,Attack,184,1500000,3000000,3,0,2,0,1276,31,3,0,1,1,789,24,0,0,1996,Rafael Dietrich
France,Central Midfield,Midfield,176,4000000,5000000,6,0,1,2,2365,37,9,0,0,2,2170,34,0,0,1996,Travis Schiller
Burkina Faso,Goalkeeper,Goalkeeper,196,12000000,20000000,2,0,0,0,3217,36,4,0,0,0,3690,41,0,0,1999,Wendell Koepp
France,Right-Back,Defender,182,3000000,8000000,4,0,0,0,1750,23,1,0,0,0,255,6,0,0,1996,Hugh Leuschke
France,Central Midfield,Midfield,187,1200000,25000000,1,0,1,0,1697,32,6,0,3,0,3138,39,0,0,1989,Wilson Marvin
Egypt,Centre-Forward,Attack,185,9000000,9000000,3,1,10,1,2164,37,4,0,8,7,1932,35,0,0,1997,Marco Lebsack
France,Centre-Forward,Attack,188,5000000,5000000,1,0,4,1,1205,34,2,0,2,4,1362,35,0,0,2001,Philip Bergstrom
Cameroon,Centre-Forward,Attack,176,3500000,8000000,0,0,2,1,1215,24,0,0,6,3,1250,35,0,0,1999,Edwin Greenholt
France,Left-Back,Defender,174,10000000,10000000,1,0,1,2,1785,25,1,0,2,3,3001,36,0,0,2002,Ryan Harvey
Sweden,Left Winger,Attack,181,1800000,2500000,4,0,2,2,1827,30,3,0,5,2,1813,29,0,0,1993,Wayne McLaughlin
France,Goalkeeper,Goalkeeper,197,2000000,2000000,2,0,0,0,3420,38,0,0,0,0,1440,16,0,0,1993,Steve Jacobson
France,Left Winger,Attack,173,1000000,3000000,0,0,0,0,205,12,0,0,1,1,576,11,0,0,1993,Tommie Hills
Poland,Centre-Back,Defender,187,3500000,4000000,9,1,1,2,2380,27,2,0,0,1,1440,16,0,0,1997,Jeff Mante
Yugoslavia (Republic),Centre-Forward,Attack,189,1500000,2000000,1,0,0,1,525,22,3,0,4,2,1041,16,0,0,1995,Glenn Christiansen
France,Centre-Forward,Attack,187,2000000,2500000,2,0,9,3,2169,36,3,0,2,2,1054,29,0,0,1995,Oscar Herman
France,Attacking Midfield,Midfield,184,3000000,25000000,2,0,0,3,1041,21,1,0,0,1,497,22,0,0,1998,Santiago Cruickshank
Cameroon,Defensive Midfield,Midfield,177,700000,800000,1,1,1,0,1918,28,0,0,0,0,44,6,0,0,2000,Phillip Von
Brazil,Right Winger,Attack,175,20000000,28000000,3,0,2,2,1956,38,3,0,8,8,1617,25,0,0,2000,Irvin Boyer
France,Central Midfield,Midfield,174,18000000,25000000,1,0,3,6,3228,38,5,0,1,2,2318,30,0,0,2000,Micheal Wilderman
France,Central Midfield,Midfield,175,13000000,55000000,3,0,2,1,935,25,3,0,4,2,1600,28,0,0,1998,Forrest Zieme
Austria,Attacking Midfield,Midfield,180,6000000,6000000,4,0,6,5,2478,39,0,0,3,2,887,16,0,0,2000,Don Runte
France,Right Midfield,Midfield,180,15000000,15000000,1,0,10,4,2721,34,0,0,3,1,1690,30,0,0,1998,Shaun Wehner
Brazil,Left-Back,Defender,185,3500000,4000000,2,1,2,4,2921,33,7,0,1,2,2507,30,0,0,1996,Dominic Barrows
France,Defensive Midfield,Midfield,183,2500000,2500000,2,0,1,0,2110,38,5,0,0,1,2461,36,0,0,1997,Levi Lindgren
France,Goalkeeper,Goalkeeper,184,5000000,25000000,2,0,0,0,2970,33,0,1,0,0,2847,33,0,0,1990,Neal Stroman
France,Attacking Midfield,Midfield,177,25000000,30000000,1,0,3,5,2666,38,2,0,1,3,446,17,0,0,2003,Brendan Wolf
France,Centre-Back,Defender,184,40000000,40000000,11,0,2,0,3312,42,3,0,2,0,3401,38,0,0,2002,William Fritsch
France,Right Midfield,Midfield,172,2000000,2500000,1,0,1,1,2780,38,1,0,2,2,1210,28,0,0,1995,Kelly Reinger
Cote d'Ivoire,Centre-Back,Defender,184,7000000,9000000,4,0,0,0,2394,28,0,1,0,0,456,7,0,0,2001,Sidney Reynolds
France,Right Winger,Attack,182,30000000,35000000,4,0,6,11,2388,39,1,0,0,1,349,19,0,0,2002,Blake Jaskolski
France,Defensive Midfield,Midfield,179,600000,1000000,4,0,3,1,2295,28,9,0,1,2,2820,32,0,0,1988,Amos West
Cote d'Ivoire,Centre-Back,Defender,173,7000000,7000000,10,2,0,1,2289,27,12,1,0,0,2577,31,0,0,2000,Arthur Gulgowski
France,Centre-Back,Defender,183,400000,800000,3,0,1,0,1509,23,5,0,0,1,1673,22,0,0,1989,Percy Toy
France,Centre-Forward,Attack,175,10000000,70000000,2,1,24,1,2679,33,2,0,11,8,2404,33,0,0,1991,Courtney Raynor
France,Right-Back,Defender,175,10000000,12000000,12,0,0,4,2068,33,0,0,0,0,106,2,0,0,2005,Roland Leffler
France,Centre-Back,Defender,180,5000000,5000000,11,0,2,1,3668,42,6,0,0,2,2355,28,0,0,1992,Kenny Emmerich
Guinea-Bissau,Defensive Midfield,Midfield,188,9000000,30000000,3,0,1,0,2810,38,3,0,5,0,2363,34,0,0,1991,Christian Huels
France,Left-Back,Defender,179,2500000,3000000,4,0,0,2,1544,35,5,1,1,1,1459,25,0,0,1992,Gerald Jacobs
Brazil,Centre-Back,Defender,183,60000000,75000000,4,0,0,2,3141,38,4,0,4,0,3595,42,0,0,1994,Stewart Wolf
France,Centre-Forward,Attack,171,3000000,8000000,1,0,4,0,723,22,2,0,6,1,760,25,0,0,1995,Rufus Sawayn
Congo,Goalkeeper,Goalkeeper,187,15000000,15000000,5,0,0,0,3960,44,1,0,0,0,1440,16,0,0,1994,Brad Dietrich
Poland,Right Midfield,Midfield,175,9000000,9000000,5,0,8,4,3243,41,5,0,2,3,2067,34,0,0,1995,Harvey Fritsch
Spain,Centre-Back,Defender,184,4000000,50000000,5,1,6,1,3108,36,6,1,3,1,2399,31,0,0,1986,Bennie Terry
Austria,Centre-Back,Defender,190,22000000,22000000,9,1,0,2,3684,42,9,0,3,3,2920,33,0,0,1998,Alfredo Abshire
Italy,Goalkeeper,Goalkeeper,196,40000000,65000000,4,1,0,0,3960,45,4,0,0,0,3060,34,0,0,1999,Darrel Hickle
France,Centre-Forward,Attack,178,180000000,200000000,5,0,37,6,3580,43,9,0,41,16,3545,41,0,0,1998,Rodolfo Glover
France,Right-Back,Defender,187,12000000,25000000,1,0,0,2,773,15,1,0,0,5,1761,33,0,0,1997,Rex Hoeger
Spain,Central Midfield,Midfield,189,30000000,60000000,2,0,4,4,2202,37,6,0,2,2,1969,33,0,0,1996,Gene Stanton
France,Centre-Forward,Attack,187,3500000,4000000,5,1,4,10,3409,43,7,0,9,6,2639,34,0,0,1990,Paul Lind
Belgium,Centre-Forward,Attack,177,55000000,55000000,6,0,29,8,3397,47,1,1,16,2,2301,32,0,0,2000,Willie Maggio
Spain,Central Midfield,Midfield,180,20000000,50000000,0,0,2,3,1388,33,2,0,9,5,2369,37,0,0,1997,Carl Hackett
France,Attacking Midfield,Midfield,174,4000000,12000000,0,0,5,1,484,18,0,0,1,3,423,16,0,0,1998,Sidney Will
Spain,Right-Back,Defender,181,65000000,70000000,8,1,6,7,2814,35,5,0,4,6,2851,38,0,0,1998,Charlie Klocko
Argentina,Centre-Back,Defender,184,22000000,22000000,13,0,2,5,3266,38,8,0,1,1,2617,30,0,0,1999,Lawrence Labadie
Portugal,Central Midfield,Midfield,172,45000000,45000000,2,0,7,6,3180,46,5,0,1,2,3132,43,0,0,2000,Allan Treutel
Cameroon,Defensive Midfield,Midfield,189,3700000,6000000,2,0,0,1,725,21,2,0,1,1,1173,20,0,0,2000,Isaac Bernhard
Ghana,Defensive Midfield,Midfield,179,18000000,18000000,8,1,0,1,3201,40,9,1,2,0,2491,30,0,0,2000,Frank Swift
France,Centre-Forward,Attack,189,15000000,28000000,0,0,2,2,875,17,0,0,3,3,755,20,0,0,2002,Greg Kreiger
Spain,Right Winger,Attack,174,12000000,40000000,4,0,2,8,1630,29,6,0,14,4,2048,38,0,0,1992,Darnell Bednar
France,Central Midfield,Midfield,178,60000000,60000000,4,0,5,5,2529,43,0,0,0,0,35,5,0,0,2006,Dominic Reilly
France,Centre-Back,Defender,180,250000,250000,1,0,0,0,213,5,1,0,0,0,90,1,0,0,2005,Jerome Waters
France,Goalkeeper,Goalkeeper,188,2000000,2500000,2,0,0,0,2610,29,0,0,0,0,1440,16,0,0,1993,Gilberto Konopelski
Netherlands,Central Midfield,Midfield,188,9000000,12000000,4,0,5,5,2199,34,3,0,2,4,1420,16,0,0,1995,Devin Morissette
Guinea,Left-Back,Defender,180,2500000,3500000,2,0,1,3,2282,27,2,0,0,0,1124,14,0,0,1994,Frankie Wehner
Netherlands,Defensive Midfield,Midfield,188,5000000,6000000,8,0,0,1,2653,35,1,0,2,0,1440,16,0,0,1996,Gustavo Hyatt
Mali,Left-Back,Defender,174,1200000,9000000,4,0,0,0,1006,15,3,1,0,1,901,15,0,0,1995,Kim Gislason
Denmark,Centre-Back,Defender,191,6000000,6000000,6,0,1,0,3780,42,4,0,0,2,1286,15,0,0,1997,Julian Tremblay
Netherlands,Right Winger,Attack,179,10000000,10000000,2,0,10,2,1706,27,2,0,5,4,1635,32,0,0,2000,Clarence Hermiston
Netherlands,Centre-Forward,Attack,190,15000000,15000000,5,0,18,2,2969,43,3,0,3,1,972,15,0,0,2000,Rex Sipes
France,Centre-Forward,Attack,181,1000000,2000000,11,0,3,0,1985,29,4,0,3,1,1156,15,0,0,1999,Rafael Waters
France,Centre-Back,Defender,186,7000000,10000000,6,0,1,2,2360,33,0,0,1,0,1433,16,0,0,2001,Mario Goldner
France,Centre-Back,Defender,185,1500000,1500000,3,0,0,3,1869,31,0,0,0,0,565,12,0,0,2000,Myron Hayes
France,Attacking Midfield,Midfield,183,15000000,15000000,3,0,4,6,2607,39,1,0,2,4,912,14,0,0,2002,Ted Koch
Brazil,Goalkeeper,Goalkeeper,193,32000000,90000000,2,0,0,0,3870,43,0,0,0,2,4620,51,0,0,1992,Edmond Towne
Netherlands,Centre-Back,Defender,193,32000000,100000000,3,1,2,3,3193,37,4,0,4,3,4591,51,0,0,1991,Pat Lind
England,Central Midfield,Midfield,180,6000000,40000000,0,0,5,1,1000,22,0,0,2,0,665,13,0,0,1993,Shane Hand
Denmark,Defensive Midfield,Midfield,187,20000000,20000000,13,0,1,4,2872,34,3,0,3,4,2207,27,0,0,1994,Donald Rodriguez
Egypt,Right Winger,Attack,175,65000000,150000000,4,0,30,18,4213,53,0,0,25,12,3779,49,0,0,1992,Rudolph Terry
Sweden,Attacking Midfield,Midfield,175,2000000,5000000,5,0,1,0,855,23,0,0,0,0,524,19,0,0,1993,Scott Dach
Scotland,Left-Back,Defender,178,35000000,80000000,5,0,1,3,2653,32,2,0,2,17,3561,44,0,0,1994,Kenny Weissnat
Spain,Right Winger,Attack,177,2500000,14000000,1,0,5,2,916,21,3,0,1,0,899,19,0,0,1997,Jose Lowe
Spain,Goalkeeper,Goalkeeper,183,35000000,35000000,1,0,0,0,3690,41,1,0,0,0,3060,34,0,0,1995,Hubert Block
Germany,Defensive Midfield,Midfield,184,22000000,22000000,5,0,1,2,2851,40,2,0,5,2,2634,38,0,0,1998,Vincent Collins
Guinea,Central Midfield,Midfield,172,6000000,65000000,2,0,0,0,493,12,4,0,1,2,1359,28,0,0,1995,Geoffrey Klein
England,Right-Back,Defender,180,70000000,110000000,7,0,3,18,3777,48,6,0,3,6,3859,46,0,0,1998,Marc Zemlak
Denmark,Central Midfield,Midfield,180,30000000,30000000,4,0,8,6,2712,37,3,0,1,3,2327,38,0,0,1996,Hubert Turner
Greece,Left-Back,Defender,179,22000000,22000000,3,0,0,4,1685,28,2,0,0,9,1570,29,0,0,1996,Clarence Champlin
England,Left-Back,Defender,170,25000000,28000000,5,0,0,2,2131,26,0,0,1,1,3077,37,0,0,1997,Kyle Berge
England,Central Midfield,Midfield,184,12000000,16000000,0,0,1,1,701,21,1,1,3,1,1101,29,0,0,1998,Jerry Borer
France,Centre-Back,Defender,194,38000000,45000000,9,0,0,1,2985,39,2,0,3,1,1840,21,0,0,1999,Adrian Walter
Denmark,Centre-Back,Defender,193,2500000,5000000,3,0,0,1,2055,26,2,0,1,0,922,14,0,0,1999,Nicholas Oberbrunner
France,Left Winger,Attack,176,25000000,25000000,6,0,8,4,2681,43,1,0,8,2,1754,39,1,1,1996,Kent Langosh
Denmark,Right-Back,Defender,184,8000000,8000000,0,0,0,1,1467,29,2,0,1,1,1670,26,0,0,1999,Kenny Jakubowski
France,Right Winger,Attack,171,38000000,38000000,2,0,13,11,3062,38,6,0,7,7,2902,38,1,1,1999,Bradley Bosco
England,Central Midfield,Midfield,185,30000000,30000000,3,1,5,4,1880,34,0,0,0,0,1076,23,0,0,2001,Cesar Hackett
England,Centre-Back,Defender,194,15000000,15000000,0,0,4,0,3690,41,1,0,0,0,2249,26,0,0,1993,Preston Rippin
Denmark,Centre-Back,Defender,189,1000000,5000000,2,0,0,0,821,14,0,0,0,0,907,13,0,0,1990,Fernando Gutmann
Uruguay,Centre-Forward,Attack,187,65000000,70000000,7,0,14,8,2635,48,6,1,25,5,2640,40,0,0,1999,Micheal Champlin
England,Attacking Midfield,Midfield,170,30000000,35000000,5,0,3,3,2021,46,0,0,4,1,1719,31,0,0,2003,Tomas Fahey
Italy,Central Midfield,Midfield,174,10000000,70000000,2,0,0,1,695,11,3,0,0,4,2861,42,0,0,1991,Bob Turcotte
England,Left Winger,Attack,170,12000000,17000000,0,0,2,0,779,19,0,0,1,1,447,9,1,1,2001,Kelvin Purdy
England,Centre-Back,Defender,180,1000000,10000000,1,1,2,1,2724,32,1,0,3,1,2240,26,0,0,1989,Ignacio Rice
Germany,Centre-Back,Defender,195,8000000,40000000,5,0,1,0,1821,24,2,0,4,3,2493,30,0,0,1991,Cecil Williamson
France,Attacking Midfield,Midfield,172,4000000,14000000,1,0,4,6,2892,41,1,0,3,5,1128,15,0,0,1990,Sam Kub
Brazil,Left-Back,Defender,177,2000000,19000000,0,0,0,1,2032,25,0,0,2,2,1057,13,0,0,1990,Sylvester Russel
France,Centre-Back,Defender,190,700000,2500000,8,0,4,2,3330,37,2,1,1,0,2804,32,0,0,1987,Owen Smith
