BirthCountry,SubPosition,Position,Height,CurrentPay,HighestPay,YellowCards,RedCards,Goals,Assists,Minutes,Games,YellowLastSeason,RedLastSeason,GoalsLastSeason,AssistsLastSeason,MinutesLastSeason,GamesLastSeason,ShootoutGoals,ShootoutAppearances,BirthYear,Name
Brazil,Defensive Midfield,Midfield,178,15000000,65000000,3,0,1,1,2169,39,6,0,3,3,2923,40,0,0,1991,Jermaine MacGyver
Cote d'Ivoire,Right-Back,Defender,176,7000000,20000000,5,0,1,2,2357,30,5,0,0,1,1559,28,0,0,1992,Emmett Bauch
Jamaica,Left Winger,Attack,170,45000000,160000000,7,0,10,6,2645,39,6,0,13,9,3159,43,0,0,1994,Christopher Daugherty
France,Centre-Back,Defender,195,2500000,18000000,4,0,2,1,1594,25,2,0,0,0,1323,15,0,0,1991,Rodolfo Kulas
Switzerland,Central Midfield,Midfield,180,6500000,25000000,6,0,0,0,2439,32,7,0,0,5,2923,37,0,0,1992,Alan Kessler
Spain,Goalkeeper,Goalkeeper,188,20000000,60000000,4,0,0,0,3780,42,1,0,0,0,1605,18,0,0,1994,Caleb Pfannerstill
Netherlands,Right Winger,Attack,181,12000000,50000000,6,0,4,5,1453,29,2,0,5,2,1609,33,0,0,1993,Allan Rosenbaum
England,Goalkeeper,Goalkeeper,188,12000000,22000000,1,0,0,0,739,9,2,0,0,0,1560,17,0,0,1997,Sergio Okuneva
Spain,Left-Back,Defender,173,25000000,55000000,9,0,0,0,1925,26,5,0,1,2,3185,41,0,0,1998,Armando Ziemann
Belgium,Central Midfield,Midfield,178,22000000,22000000,7,0,2,1,2701,38,5,0,0,2,1419,25,0,0,1998,Abel Smith
Brazil,Centre-Back,Defender,181,2000000,40000000,4,0,1,0,3187,37,3,0,1,2,3734,43,0,0,1984,Phil Luettgen
Nigeria,Centre-Forward,Attack,183,28000000,30000000,3,0,11,3,1512,24,1,0,10,2,1874,33,1,1,1997,Lucas Kihn
Germany,Attacking Midfield,Midfield,193,55000000,90000000,8,0,9,1,3816,54,10,0,14,4,3053,45,0,0,1999,Patrick Konopelski
United States,Right Winger,Attack,177,32000000,60000000,1,0,7,4,1905,33,3,0,7,5,1985,40,0,0,1998,Jim Smitham
Switzerland,Defensive Midfield,Midfield,190,22000000,45000000,6,0,1,0,1556,22,1,0,2,1,1301,20,0,0,1996,Hugh Hettinger
England,Attacking Midfield,Midfield,181,45000000,75000000,4,0,0,1,1275,25,6,0,9,16,3526,47,0,0,1999,Nelson Schultz
England,Centre-Back,Defender,190,12000000,12000000,2,1,1,0,1943,26,5,0,0,0,983,14,0,0,1997,Alan Bahringer
