YellowCards,RedCards,Goals,Assists,MinutesPlayed,Games,PlayerId,Season,Position,Age,YellowDiff,RedDiff,GoalsDiff,AssistsDiff,MinutesPlayedDiff,GamesDiff,IsLastSeason
2,1,4,7,2301,35,3333,2012,Midfield,27,,,,,,,False
8,0,2,10,2024,41,3333,2013,Midfield,28,6,-1,-2,3,-277,6,False
6,0,8,8,2543,43,3333,2014,Midfield,29,-2,0,6,-2,519,2,False
11,0,7,14,3446,41,3333,2015,Midfield,30,5,0,-1,6,903,-2,False
5,0,7,3,3159,36,3333,2016,Midfield,31,-6,0,0,-11,-287,-5,False
3,0,1,11,2787,47,3333,2017,Midfield,32,-2,0,-6,8,-372,11,False
9,0,7,7,2777,44,3333,2018,Midfield,33,6,0,6,-4,-10,-3,False
7,0,2,3,1528,35,3333,2019,Midfield,34,-2,0,-5,-4,-1249,-9,False
6,0,0,1,1663,35,3333,2020,Midfield,35,-1,0,-2,-2,135,0,False
5,0,0,3,1256,36,3333,2021,Midfield,36,-1,0,0,2,-407,1,False
3,0,0,1,1247,42,3333,2022,Midfield,37,-2,0,0,-2,-9,6,False
3,0,0,2,955,20,3333,2023,Midfield,38,0,0,0,1,-292,-22,True
5,0,0,0,2869,32,71271,2012,Goalkeeper,28,,,,,,,False
2,0,0,0,1890,21,71271,2013,Goalkeeper,29,-3,0,0,0,-979,-11,False
3,1,0,0,3781,42,71271,2014,Goalkeeper,30,1,1,0,0,1891,21,False
1,1,0,0,3180,35,71271,2015,Goalkeeper,31,-2,0,0,0,-601,-7,False
1,0,0,0,1620,18,71271,2016,Goalkeeper,32,0,-1,0,0,-1560,-17,False
2,0,0,0,1710,19,71271,2017,Goalkeeper,33,1,0,0,0,90,1,False
0,0,0,0,180,2,71271,2018,Goalkeeper,34,-2,0,0,0,-1530,-17,False
1,0,0,0,1563,18,71271,2019,Goalkeeper,35,1,0,0,0,1383,16,False
0,0,0,0,360,4,71271,2020,Goalkeeper,36,-1,0,0,0,-1203,-14,False
0,0,0,0,90,1,71271,2022,Goalkeeper,37,0,0,0,0,-270,-3,True
0,0,0,0,90,1,45494,2013,Goalkeeper,29,,,,,,,False
0,0,0,0,395,5,45494,2014,Goalkeeper,30,0,0,0,0,305,4,False
1,0,0,0,3180,35,45494,2015,Goalkeeper,31,1,0,0,0,2785,30,False
1,0,0,0,2700,30,45494,2016,Goalkeeper,32,0,0,0,0,-480,-5,False
1,0,0,0,2520,28,45494,2017,Goalkeeper,33,0,0,0,0,-180,-2,False
0,0,0,0,1755,20,45494,2018,Goalkeeper,34,-1,0,0,0,-765,-8,False
0,0,0,0,360,4,45494,2019,Goalkeeper,35,0,0,0,0,-1395,-16,False
0,0,0,0,360,4,45494,2021,Goalkeeper,36,0,0,0,0,0,0,False
0,0,0,0,361,5,45494,2022,Goalkeeper,37,0,0,0,0,1,1,True
4,0,0,1,4500,50,52570,2012,Goalkeeper,25,,,,,,,False
1,0,0,0,4590,51,52570,2013,Goalkeeper,26,-3,0,0,-1,90,1,False
1,0,0,0,3254,37,52570,2014,Goalkeeper,27,0,0,0,0,-1336,-14,False
0,0,0,0,1620,18,52570,2015,Goalkeeper,28,-1,0,0,0,-1634,-19,False
3,0,0,0,3960,44,52570,2016,Goalkeeper,29,3,0,0,0,2340,26,False
0,0,0,0,1800,20,52570,2017,Goalkeeper,30,-3,0,0,0,-2160,-24,False
0,0,0,0,90,1,52570,2018,Goalkeeper,31,0,0,0,0,-1710,-19,False
2,0,0,0,3330,37,52570,2019,Goalkeeper,32,2,0,0,0,3240,36,False
0,0,0,0,1170,13,52570,2020,Goalkeeper,33,-2,0,0,0,-2160,-24,False
1,0,0,0,2010,22,52570,2021,Goalkeeper,34,1,0,0,0,840,9,False
1,0,0,0,1665,19,52570,2022,Goalkeeper,35,0,0,0,0,-345,-3,False
0,0,0,0,90,1,52570,2023,Goalkeeper,36,-1,0,0,0,-1575,-18,True
1,0,0,1,2757,31,33027,2012,Goalkeeper,28,,,,,,,False
0,0,0,0,3240,36,33027,2013,Goalkeeper,29,-1,0,0,-1,483,5,False
1,0,0,1,2700,30,33027,2014,Goalkeeper,30,1,0,0,1,-540,-6,False
0,0,0,0,720,8,33027,2015,Goalkeeper,31,-1,0,0,-1,-1980,-22,False
0,0,0,0,1650,18,33027,2016,Goalkeeper,32,0,0,0,0,930,10,False
0,0,0,0,315,4,33027,2017,Goalkeeper,33,0,0,0,0,-1335,-14,False
4,0,0,0,3480,38,33027,2019,Goalkeeper,34,4,0,0,0,3165,34,False
1,0,0,0,2790,31,33027,2021,Goalkeeper,35,-3,0,0,0,-690,-7,False
0,0,0,0,450,5,33027,2023,Goalkeeper,36,-1,0,0,0,-2340,-26,True
2,0,3,6,2239,30,43530,2012,Midfield,25,,,,,,,False
3,0,10,8,3288,41,43530,2013,Midfield,26,1,0,7,2,1049,11,False
4,0,6,3,2450,37,43530,2014,Midfield,27,1,0,-4,-5,-838,-4,False
3,0,7,7,3092,43,43530,2015,Midfield,28,-1,0,1,4,642,6,False
3,0,8,7,2363,32,43530,2016,Midfield,29,0,0,1,0,-729,-11,False
1,0,0,1,456,15,43530,2017,Midfield,30,-2,0,-8,-6,-1907,-17,False
2,0,0,0,568,16,43530,2018,Midfield,31,1,0,0,-1,112,1,False
1,0,1,1,690,20,43530,2019,Midfield,32,-1,0,1,1,122,4,False
0,0,1,1,1669,31,43530,2020,Midfield,33,-1,0,0,0,979,11,False
4,0,0,1,1668,26,43530,2021,Midfield,34,4,0,-1,0,-1,-5,False
