appearance_id,game_id,player_id,player_club_id,player_current_club_id,yellow_cards,red_cards,goals,assists,minutes_played
2230141_33027,2230141,33027,762,1031,0,0,0,0,90
2225449_33027,2225449,33027,762,1031,0,0,0,0,90
2225453_33027,2225453,33027,762,1031,0,0,0,0,90
2225466_61842,2225466,61842,148,1031,0,0,0,0,3
2225483_61842,2225483,61842,148,1031,0,0,0,0,1
2225500_61842,2225500,61842,148,1031,0,0,0,0,3
2225502_33027,2225502,33027,762,1031,0,0,0,0,90
2225517_33027,2225517,33027,762,1031,0,0,0,0,90
2225513_33027,2225513,33027,762,1031,0,0,0,0,90
2225528_33027,2225528,33027,762,1031,0,0,0,0,90
2225543_33027,2225543,33027,762,1031,0,0,0,0,90
2225551_33027,2225551,33027,762,1031,0,0,0,0,90
2225565_33027,2225565,33027,762,1031,0,0,0,0,90
2250048_33027,2250048,33027,762,1031,0,0,0,0,90
2258918_33027,2258918,33027,762,1031,0,0,0,0,90
2258929_33027,2258929,33027,762,1031,0,0,0,0,90
2258934_61842,2258934,61842,148,1031,0,0,0,0,18
2258939_33027,2258939,33027,762,1031,0,0,0,0,90
2258947_61842,2258947,61842,148,1031,0,0,0,0,5
2258950_33027,2258950,33027,762,1031,0,0,0,0,90
2258956_33027,2258956,33027,762,1031,0,0,0,0,90
2258969_33027,2258969,33027,762,1031,0,0,0,1,90
2258981_33027,2258981,33027,762,1031,0,0,0,0,90
2258989_33027,2258989,33027,762,1031,0,0,0,0,90
2259002_33027,2259002,33027,762,1031,0,0,0,0,90
2250146_33027,2250146,33027,762,1031,0,0,0,0,90
2250161_33027,2250161,33027,762,1031,0,0,0,0,90
2225806_33027,2225806,33027,762,1031,0,0,0,0,90
2225753_33027,2225753,33027,762,1031,0,0,0,0,57
2350367_170321,2350367,170321,762,762,0,0,0,0,45
2350367_33027,2350367,33027,762,1031,0,0,0,0,90
2350371_33027,2350371,33027,762,1031,0,0,0,0,90
2350374_61842,2350374,61842,148,1031,0,0,0,1,88
2350378_33027,2350378,33027,762,1031,0,0,0,0,90
2350384_61842,2350384,61842,148,1031,0,0,0,0,75
2332012_61842,2332012,61842,148,1031,0,0,0,0,90
2332030_33027,2332030,33027,762,1031,0,0,0,0,90
2331992_33027,2331992,33027,762,1031,0,0,0,0,90
2332006_61842,2332006,61842,148,1031,1,0,0,0,82
2331973_61842,2331973,61842,148,1031,1,0,0,0,62
2331983_33027,2331983,33027,762,1031,0,0,0,0,90
2331970_33027,2331970,33027,762,1031,0,0,0,0,90
2332119_61842,2332119,61842,148,1031,0,0,0,0,90
2332126_170321,2332126,170321,762,762,0,0,1,0,45
2332126_33027,2332126,33027,762,1031,0,0,0,0,90
2332121_61842,2332121,61842,148,1031,0,0,1,0,90
2332097_170321,2332097,170321,762,762,0,0,0,0,90
2332097_33027,2332097,33027,762,1031,0,0,0,0,90
2332111_61842,2332111,61842,148,1031,0,0,0,0,90
2332058_33027,2332058,33027,762,1031,0,0,0,0,90
2332090_61842,2332090,61842,148,1031,0,0,0,0,90
2332095_33027,2332095,33027,762,1031,0,0,0,0,90
2332095_61842,2332095,61842,148,1031,0,0,0,0,90
2332051_33027,2332051,33027,762,1031,0,0,0,0,90
2332066_33027,2332066,33027,762,1031,0,0,0,0,90
2332039_61842,2332039,61842,148,1031,0,0,0,0,25
2332044_33027,2332044,33027,762,1031,0,0,0,0,90
2332045_61842,2332045,61842,148,1031,0,0,0,0,12
2332024_33027,2332024,33027,762,1031,0,0,0,0,90
2332034_61842,2332034,61842,148,1031,0,0,0,0,11
2332027_33027,2332027,33027,762,1031,0,0,0,0,90
2332036_61842,2332036,61842,148,1031,0,0,0,0,29
2331993_33027,2331993,33027,762,1031,0,0,0,0,90
2331963_33027,2331963,33027,762,1031,0,0,0,0,90
2331987_33027,2331987,33027,762,1031,0,0,0,0,90
2332102_33027,2332102,33027,762,1031,0,0,0,0,90
2332229_33027,2332229,33027,762,1031,0,0,0,0,90
2332233_170321,2332233,170321,762,762,0,0,0,0,16
2332233_33027,2332233,33027,762,1031,0,0,0,0,90
2332201_33027,2332201,33027,762,1031,0,0,0,0,90
2332204_170321,2332204,170321,762,762,1,0,0,0,26
2332204_33027,2332204,33027,762,1031,0,0,0,0,90
2332205_170321,2332205,170321,762,762,0,0,0,0,90
2332205_33027,2332205,33027,762,1031,0,0,0,0,90
2332213_61842,2332213,61842,148,1031,0,0,0,0,31
2332169_170321,2332169,170321,762,762,0,0,0,0,45
2332169_33027,2332169,33027,762,1031,0,0,0,0,90
2332169_61842,2332169,61842,148,1031,0,0,0,1,26
2332163_170321,2332163,170321,762,762,0,0,0,0,90
2332163_33027,2332163,33027,762,1031,0,0,0,0,90
2332164_61842,2332164,61842,148,1031,0,0,0,0,8
2332209_170321,2332209,170321,762,762,0,0,0,1,90
2332209_33027,2332209,33027,762,1031,0,0,0,0,90
2332186_61842,2332186,61842,148,1031,0,0,0,0,70
